,0
10,"[('BMX', 15189218, 15246114, '+', [(15189218, 15189584), (15196994, 15197141), (15197978, 15198083), (15200086, 15200168), (15204725, 15204845), (15206560, 15206604), (15210992, 15211234), (15213992, 15214070), (15214743, 15214797), (15218414, 15218469), (15219755, 15219835), (15222644, 15222772), (15224970, 15225045), (15225763, 15225935), (15230508, 15230725), (15231603, 15231668), (15236061, 15236180), (15239131, 15239289), (15243471, 15246114)]), ('BMX', 15189218, 15246114, '+', [(15189218, 15189584), (15196994, 15197141), (15197978, 15198083), (15200086, 15200168), (15204725, 15204845), (15206539, 15206604), (15210992, 15211234), (15213992, 15214070), (15214743, 15214797), (15218414, 15218469), (15219755, 15219835), (15222644, 15222772), (15224970, 15225045), (15225763, 15225935), (15230508, 15230725), (15231603, 15231668), (15236061, 15236180), (15239131, 15239289), (15243471, 15246114)]), ('ACE2', 15247645, 15300546, '-', [(15247645, 15248629), (15250676, 15250871), (15252922, 15253039), (15254471, 15254572), (15257028, 15257087), (15258335, 15258508), (15258913, 15259036), (15260071, 15260170), (15262361, 15262506), (15264774, 15265001), (15268217, 15268387), (15276479, 15276577), (15278771, 15278877), (15280356, 15280469), (15289184, 15289328), (15289685, 15289779), (15292351, 15292510), (15299367, 15299656), (15300281, 15300546)]), ('ACE2', 15247645, 15300547, '-', [(15247645, 15248629), (15250676, 15250871), (15252922, 15253039), (15254471, 15254572), (15257028, 15257087), (15258335, 15258508), (15258913, 15259036), (15260071, 15260170), (15262361, 15262506), (15264774, 15265001), (15268217, 15268387), (15276479, 15276577), (15278771, 15278877), (15280356, 15280469), (15289184, 15289328), (15289685, 15289779), (15292351, 15292510), (15299367, 15299559), (15300281, 15300547)]), ('ACE2', 15248520, 15299553, '-', [(15248520, 15248629), (15250676, 15250871), (15252922, 15253039), (15254471, 15254572), (15257028, 15257087), (15258335, 15258508), (15258913, 15259036), (15260071, 15260170), (15262361, 15262506), (15264774, 15265001), (15268217, 15268387), (15276479, 15276577), (15278771, 15278877), (15280356, 15280469), (15289184, 15289328), (15289685, 15289779), (15292351, 15292510), (15299367, 15299553)]), ('CLTRN', 15325116, 15363203, '-', [(15325116, 15326029), (15337479, 15337674), (15343147, 15343261), (15357219, 15357305), (15362508, 15362567), (15362888, 15363203)]), ('LOC114674679', 15372997, 15419992, '+', [(15372997, 15373849), (15386926, 15387124), (15389476, 15389599), (15391447, 15391543), (15419897, 15419992)]), ('LOC114674679', 15372997, 15389816, '+', [(15372997, 15373849), (15386926, 15387124), (15389548, 15389816)]), ('LOC114674679', 15372999, 15402271, '+', [(15372999, 15373849), (15386926, 15387124), (15391447, 15391543), (15395726, 15402271)])]"
11,"[('CTPS2', 16280030, 16400558, '-', [(16280030, 16281808), (16282771, 16282882), (16299793, 16299938), (16306181, 16306278), (16310873, 16310929), (16326838, 16326935), (16355609, 16355653), (16355757, 16355820), (16358758, 16358853), (16365961, 16366050), (16370977, 16371110), (16376345, 16376497), (16378428, 16378509), (16380006, 16380090), (16380236, 16380353), (16385392, 16385493), (16386064, 16386235), (16390487, 16390692), (16400102, 16400558)]), ('CTPS2', 16280030, 16400558, '-', [(16280030, 16281808), (16282771, 16282882), (16299793, 16299938), (16306181, 16306278), (16310873, 16310929), (16326838, 16326935), (16355609, 16355653), (16355757, 16355820), (16358758, 16358853), (16365961, 16366050), (16370977, 16371110), (16376345, 16376497), (16378428, 16378509), (16380006, 16380090), (16380236, 16380353), (16385392, 16385493), (16386064, 16386235), (16390487, 16390692), (16400326, 16400558)]), ('S100G', 16338449, 16342309, '+', [(16338449, 16338604), (16342053, 16342309)])]"
12,"[('LOC714053', 17004365, 17006850, '+', [(17004365, 17006850)]), ('LOC114675255', 17088885, 17088989, '+', [(17088885, 17088989)])]"
13,"[('BEND2', 17923946, 17979135, '-', [(17923946, 17924339), (17930099, 17930303), (17933150, 17933379), (17935088, 17935210), (17936676, 17936877), (17939945, 17940086), (17950315, 17950423), (17951397, 17951523), (17953103, 17953208), (17954592, 17954742), (17957024, 17957150), (17962061, 17962187), (17964036, 17964451), (17970390, 17970506), (17974668, 17974881), (17978976, 17979135)]), ('BEND2', 17923946, 17979135, '-', [(17923946, 17924339), (17930099, 17930303), (17933150, 17933379), (17935088, 17935210), (17936676, 17936877), (17939945, 17940086), (17950315, 17950423), (17951397, 17951523), (17954592, 17954742), (17957024, 17957150), (17962061, 17962187), (17964036, 17964451), (17970390, 17970506), (17974668, 17974881), (17978976, 17979135)]), ('BEND2', 17923946, 17979135, '-', [(17923946, 17924339), (17930099, 17930303), (17933150, 17933379), (17935088, 17935210), (17936676, 17936877), (17939945, 17940086), (17950315, 17950423), (17951397, 17951523), (17953103, 17953208), (17954592, 17954739), (17957024, 17957150), (17962061, 17962187), (17964036, 17964451), (17970390, 17970506), (17974668, 17974881), (17978976, 17979135)]), ('BEND2', 17923946, 17979135, '-', [(17923946, 17924339), (17930099, 17930303), (17933150, 17933379), (17935088, 17935210), (17936676, 17936877), (17939945, 17940086), (17950315, 17950423), (17951397, 17951523), (17953103, 17953208), (17954592, 17954742), (17957024, 17957150), (17964036, 17964451), (17970390, 17970506), (17974668, 17974881), (17978976, 17979135)]), ('SCML2', 17998616, 18116738, '-', [(17998616, 18000711), (18006253, 18006508), (18007477, 18007591), (18016682, 18016865), (18017896, 18018100), (18020044, 18020165), (18025449, 18025667), (18072212, 18072456), (18087191, 18087280), (18091025, 18091260), (18092078, 18092149), (18098010, 18098079), (18101512, 18101558), (18116604, 18116738)]), ('SCML2', 17999953, 18116674, '-', [(17999953, 18000711), (18001782, 18001934), (18006253, 18006508), (18007477, 18007591), (18016682, 18016865), (18017896, 18018100), (18020044, 18020165), (18025449, 18025667), (18072212, 18072456), (18087191, 18087280), (18091025, 18091260), (18092078, 18092149), (18098010, 18098079), (18101512, 18101558), (18116604, 18116674)])]"
14,[]
15,"[('SH3KBP1', 19279864, 19422805, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19422714, 19422805)]), ('SH3KBP1', 19279864, 19423575, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19423327, 19423575)]), ('SH3KBP1', 19279864, 19423575, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19423327, 19423575)]), ('SH3KBP1', 19279864, 19554477, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19554316, 19554477)]), ('SH3KBP1', 19279864, 19586260, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19448682, 19448739), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19586192, 19586260)]), ('SH3KBP1', 19279864, 19586260, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19586192, 19586260)]), ('SH3KBP1', 19279864, 19586260, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19586192, 19586260)]), ('SH3KBP1', 19279864, 19642666, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19448682, 19448739), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589486, 19589618), (19642372, 19642666)]), ('SH3KBP1', 19279864, 19642666, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589486, 19589618), (19642372, 19642666)]), ('SH3KBP1', 19279864, 19642672, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19448682, 19448739), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589460, 19589618), (19642372, 19642672)]), ('SH3KBP1', 19279864, 19642672, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19448682, 19448739), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589460, 19589618), (19642372, 19642672)]), ('SH3KBP1', 19279864, 19642672, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589460, 19589618), (19642372, 19642672)]), ('SH3KBP1', 19279864, 19642672, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19440518, 19440593), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589460, 19589618), (19642372, 19642672)]), ('SH3KBP1', 19279864, 19642672, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19292153, 19292282), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589460, 19589618), (19642372, 19642672)]), ('SH3KBP1', 19279864, 19642672, '-', [(19279864, 19282346), (19283612, 19283676), (19287830, 19288099), (19296241, 19296351), (19320014, 19320100), (19339420, 19339580), (19342803, 19342884), (19345661, 19345713), (19360515, 19360623), (19384655, 19384750), (19397679, 19397755), (19436748, 19436954), (19449309, 19449439), (19461477, 19461581), (19501084, 19501208), (19589460, 19589618), (19642372, 19642672)])]"
16,"[('SMPX', 21467926, 21520557, '-', [(21467926, 21468343), (21499701, 21499850), (21506016, 21506103), (21516510, 21516567), (21520196, 21520557)]), ('LOC696406', 21535606, 21536985, '+', [(21535606, 21536985)]), ('MBTPS2', 21612977, 21658872, '+', [(21612977, 21613244), (21616611, 21616760), (21618941, 21619158), (21624948, 21625052), (21626840, 21626968), (21642958, 21643077), (21643989, 21644170), (21651497, 21651592), (21651956, 21652152), (21654350, 21654426), (21655884, 21658872)]), ('YY2', 21630126, 21632852, '+', [(21630126, 21632852)]), ('SMS', 21663108, 21771057, '+', [(21663108, 21663909), (21671200, 21671329), (21743233, 21743354), (21747927, 21748021), (21748535, 21748600), (21753047, 21753223), (21753951, 21754106), (21754880, 21754970), (21760437, 21760552), (21761269, 21761349), (21768737, 21768853), (21770512, 21771057)]), ('SMS', 21671333, 21771051, '+', [(21671333, 21671379), (21743233, 21743354), (21747927, 21748021), (21748535, 21748600), (21753047, 21753223), (21753951, 21754106), (21754880, 21754970), (21760437, 21760552), (21761269, 21761349), (21768737, 21768853), (21770512, 21771051)])]"
17,"[('LOC114675257', 23316966, 23317069, '-', [(23316966, 23317069)]), ('PRDX4', 23467412, 23490549, '+', [(23467412, 23467871), (23474901, 23475019), (23478626, 23478743), (23482794, 23482917), (23485705, 23485836), (23486979, 23487014), (23490434, 23490549)]), ('PRDX4', 23470804, 23490499, '+', [(23470804, 23471185), (23474901, 23475019), (23478626, 23478743), (23482794, 23482917), (23485705, 23485836), (23486979, 23487014), (23490154, 23490201), (23490434, 23490499)]), ('PRDX4', 23470804, 23490543, '+', [(23470804, 23471185), (23474901, 23475019), (23478626, 23478743), (23482794, 23482917), (23485705, 23485836), (23486979, 23487014), (23490154, 23490205), (23490434, 23490543)]), ('PRDX4', 23470804, 23490549, '+', [(23470804, 23471185), (23474901, 23475019), (23478626, 23478743), (23482794, 23482917), (23485705, 23485836), (23486979, 23487014), (23490434, 23490549)]), ('PRDX4', 23470831, 23490595, '+', [(23470831, 23471185), (23474901, 23475019), (23478626, 23478743), (23482794, 23482917), (23485705, 23485836), (23486979, 23487014), (23490434, 23490540), (23490585, 23490595)])]"
18,"[('LOC106992299', 37024309, 37025858, '-', [(37024309, 37025858)])]"
19,"[('LOC697062', 37310114, 37310934, '+', [(37310114, 37310934)]), ('LANCL3', 37379008, 37481734, '+', [(37379008, 37379881), (37452638, 37452762), (37456407, 37456605), (37464517, 37464725), (37473154, 37481734)]), ('XK', 37482758, 37528037, '+', [(37482758, 37483484), (37491268, 37491531), (37523560, 37528037)])]"
