,0
20,"[('LOC114675139', 43357856, 43358950, '-', [(43357856, 43358542), (43358636, 43358950)])]"
21,"[('LOC704590', 46408701, 46409954, '-', [(46408701, 46409954)]), ('KRBOX4', 46415952, 46443157, '+', [(46415952, 46416532), (46417378, 46417490), (46419908, 46419953), (46433521, 46433632), (46443073, 46443157)]), ('KRBOX4', 46416057, 46444534, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433617), (46443070, 46444534)]), ('KRBOX4', 46416057, 46444534, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433617), (46441464, 46441508), (46442345, 46444534)]), ('KRBOX4', 46416057, 46444534, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433632), (46443073, 46444534)]), ('KRBOX4', 46416057, 46444534, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433632), (46443070, 46444534)]), ('KRBOX4', 46416057, 46444534, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433632), (46441464, 46441508), (46442345, 46444534)]), ('KRBOX4', 46416057, 46444973, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433617), (46441464, 46441508), (46443070, 46444973)]), ('KRBOX4', 46416057, 46444973, '+', [(46416057, 46416532), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433632), (46441464, 46441508), (46443070, 46444973)]), ('KRBOX4', 46416454, 46444534, '+', [(46416454, 46416549), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433617), (46441464, 46441508), (46443070, 46444534)]), ('KRBOX4', 46416454, 46444534, '+', [(46416454, 46416549), (46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433632), (46441464, 46441508), (46443070, 46444534)]), ('KRBOX4', 46417378, 46444053, '+', [(46417378, 46417490), (46419908, 46419953), (46433057, 46433184), (46433521, 46433617), (46443070, 46444053)]), ('ZNF674', 46469345, 46510556, '-', [(46469345, 46471022), (46496187, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510249, 46510362), (46510453, 46510556)]), ('ZNF674', 46469345, 46510877, '-', [(46469345, 46471022), (46496187, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510795, 46510877)]), ('ZNF674', 46469345, 46510877, '-', [(46469345, 46471022), (46496202, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510795, 46510877)]), ('ZNF674', 46469345, 46510902, '-', [(46469345, 46471022), (46496187, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510249, 46510362), (46510795, 46510902)]), ('ZNF674', 46469345, 46510902, '-', [(46469345, 46471019), (46496187, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510249, 46510362), (46510795, 46510902)]), ('ZNF674', 46469345, 46510902, '-', [(46469345, 46471022), (46496202, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510249, 46510362), (46510795, 46510902)]), ('ZNF674', 46469345, 46510902, '-', [(46469345, 46471019), (46496202, 46496298), (46496631, 46496758), (46507370, 46507414), (46509921, 46510033), (46510249, 46510362), (46510795, 46510902)]), ('LOC114675150', 46485694, 46485797, '+', [(46485694, 46485797)])]"
22,"[('DGKK', 50110413, 50305004, '-', [(50110413, 50114077), (50115558, 50115682), (50116877, 50116988), (50120509, 50120596), (50121569, 50121711), (50122302, 50122463), (50123638, 50123773), (50124118, 50124232), (50125163, 50125271), (50125517, 50125614), (50131418, 50131526), (50133094, 50133191), (50133646, 50133751), (50135300, 50135529), (50136506, 50136606), (50137487, 50137579), (50139609, 50139691), (50140723, 50140863), (50141631, 50141740), (50142438, 50142622), (50150377, 50150480), (50152385, 50152508), (50152816, 50152923), (50153366, 50153502), (50169470, 50169575), (50171509, 50171590), (50173308, 50173419), (50304465, 50305004)]), ('SHROOM4', 50334326, 50581419, '-', [(50334326, 50334982), (50336819, 50336896), (50353708, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50396676, 50396811), (50454063, 50454215), (50581302, 50581419)]), ('SHROOM4', 50336308, 50581419, '-', [(50336308, 50336896), (50353708, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50396676, 50396811), (50454063, 50454215), (50581302, 50581419)]), ('SHROOM4', 50349298, 50581445, '-', [(50349298, 50349809), (50353708, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50396676, 50396811), (50454063, 50454215), (50581302, 50581445)]), ('SHROOM4', 50350985, 50402184, '-', [(50350985, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50396676, 50396811), (50401805, 50402184)]), ('SHROOM4', 50350985, 50402184, '-', [(50350985, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50401805, 50402184)]), ('SHROOM4', 50350985, 50581718, '-', [(50350985, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50396676, 50396811), (50454063, 50454215), (50581302, 50581718)]), ('SHROOM4', 50350985, 50581718, '-', [(50350985, 50354973), (50356292, 50356562), (50360666, 50360847), (50365283, 50366105), (50386101, 50386163), (50391663, 50394154), (50454063, 50454215), (50581302, 50581718)])]"
23,"[('NUDT10', 51098833, 51103658, '+', [(51098833, 51099533), (51102371, 51103658)]), ('EZHIP', 51184357, 51186335, '+', [(51184357, 51186335)]), ('LOC114675218', 51201174, 51201237, '+', [(51201174, 51201237)]), ('LOC695959', 51297464, 51304267, '-', [(51297464, 51299201), (51303369, 51304267)])]"
24,"[('LOC100424569', 52500373, 52507029, '-', [(52500373, 52500484), (52503096, 52503223), (52505511, 52505647), (52506706, 52506925), (52507002, 52507029)]), ('LOC114669729', 52548005, 52555038, '-', [(52548005, 52548127), (52551088, 52551214), (52553084, 52553190), (52553689, 52553769), (52554919, 52555038)]), ('LOC114669729', 52548005, 52555044, '-', [(52548005, 52548127), (52551088, 52551214), (52553084, 52553190), (52553689, 52553769), (52554955, 52555044)]), ('XAGE5', 52573411, 52580435, '+', [(52573411, 52573503), (52574684, 52574764), (52575263, 52575369), (52577239, 52577365), (52580313, 52580435)]), ('XAGE5', 52573414, 52580435, '+', [(52573414, 52573539), (52574684, 52574764), (52575263, 52575369), (52577239, 52577365), (52580313, 52580435)]), ('XAGE5', 52574329, 52580421, '+', [(52574329, 52574387), (52574684, 52574764), (52575263, 52575369), (52577239, 52577365), (52580313, 52580421)]), ('LOC700438', 52583596, 52590905, '-', [(52583596, 52583619), (52586434, 52586560), (52588107, 52588210), (52588479, 52588481), (52589305, 52589392), (52590820, 52590905)]), ('XAGE3', 52618289, 52626284, '-', [(52618289, 52618404), (52620568, 52620694), (52624270, 52624376), (52625241, 52625330), (52626194, 52626284)]), ('LOC106995210', 52647523, 52649442, '-', [(52647523, 52648354), (52648509, 52649442)]), ('LOC106995210', 52647523, 52649442, '-', [(52647523, 52648354), (52648669, 52649442)]), ('FAM156B', 52649043, 52661110, '+', [(52649043, 52649209), (52651274, 52651358), (52659669, 52661110)]), ('FAM156B', 52649075, 52661110, '+', [(52649075, 52649209), (52651274, 52651348), (52659669, 52661110)]), ('FAM156B', 52649139, 52661110, '+', [(52649139, 52650028), (52651274, 52651358), (52659669, 52661110)]), ('FAM156B', 52649322, 52661110, '+', [(52649322, 52650028), (52651274, 52651348), (52659669, 52661110)]), ('FAM156A', 52679384, 52741522, '-', [(52679384, 52680797), (52696705, 52696743), (52700701, 52700780), (52727674, 52727849), (52737133, 52741522)])]"
25,"[('FOXR2', 55525647, 55527803, '+', [(55525647, 55527803)])]"
26,[]
27,"[('UBQLN2', 56417901, 56422536, '+', [(56417901, 56422536)])]"
28,"[('LOC705611', 56966065, 56967953, '-', [(56966065, 56967018), (56967462, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967015), (56967462, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967018), (56967548, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967015), (56967548, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967018), (56967619, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967015), (56967619, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967015), (56967624, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967018), (56967674, 56967953)]), ('LOC705611', 56966065, 56967953, '-', [(56966065, 56967015), (56967674, 56967953)]), ('LOC705611', 56966065, 56980403, '-', [(56966065, 56967015), (56980299, 56980403)]), ('FAAH2', 56967965, 57236632, '+', [(56967965, 56968351), (56970885, 56971059), (57045549, 57045632), (57064938, 57065075), (57091232, 57091442), (57102457, 57102577), (57140722, 57140858), (57143007, 57143125), (57198783, 57198903), (57212569, 57212681), (57214205, 57214400), (57236161, 57236632)]), ('LOC705734', 56979377, 56980390, '-', [(56979377, 56980390)])]"
29,"[('FAAH2', 56967965, 57236632, '+', [(56967965, 56968351), (56970885, 56971059), (57045549, 57045632), (57064938, 57065075), (57091232, 57091442), (57102457, 57102577), (57140722, 57140858), (57143007, 57143125), (57198783, 57198903), (57212569, 57212681), (57214205, 57214400), (57236161, 57236632)]), ('FAAH2', 57039586, 57236337, '+', [(57039586, 57040021), (57045549, 57045632), (57064938, 57065075), (57102457, 57102577), (57140722, 57140858), (57143007, 57143125), (57198783, 57198903), (57212569, 57212681), (57214205, 57214400), (57236161, 57236337)]), ('FAAH2', 57039586, 57236632, '+', [(57039586, 57040021), (57045549, 57045632), (57064938, 57065075), (57091232, 57091442), (57102457, 57102577), (57140722, 57140858), (57143007, 57143125), (57198783, 57198903), (57212569, 57212681), (57214205, 57214400), (57236161, 57236632)]), ('ZXDB', 57352989, 57358812, '+', [(57352989, 57358812)])]"
30,"[('LOC114674933', 60249810, 60424437, '-', [(60249810, 60251821), (60256224, 60256312), (60268651, 60268779), (60304836, 60304900), (60359979, 60360040), (60424144, 60424437)]), ('LOC114674933', 60249810, 60424437, '-', [(60249810, 60251821), (60256224, 60256312), (60268651, 60268779), (60359979, 60360040), (60424144, 60424437)]), ('LOC114674933', 60249810, 60424437, '-', [(60249810, 60251821), (60256224, 60256312), (60268651, 60268779), (60304836, 60304900), (60424144, 60424437)]), ('LOC114674933', 60249810, 60424437, '-', [(60249810, 60251821), (60268651, 60268779), (60304836, 60304900), (60424144, 60424437)]), ('LOC114674933', 60249810, 60424437, '-', [(60249810, 60251821), (60256224, 60256312), (60268651, 60268779), (60424144, 60424437)]), ('ARHGEF9', 60551233, 60673692, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60586385, 60586517), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60672857, 60673692)]), ('ARHGEF9', 60551233, 60673692, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60586385, 60586517), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60672857, 60673692)]), ('ARHGEF9', 60551233, 60673693, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60586385, 60586517), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60672846, 60673693)]), ('ARHGEF9', 60551233, 60673693, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60586385, 60586517), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60672850, 60673693)]), ('ARHGEF9', 60551233, 60673696, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60672857, 60673696)]), ('ARHGEF9', 60551233, 60673697, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60672846, 60673697)]), ('ARHGEF9', 60551233, 60706901, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60586385, 60586517), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60705918, 60706901)]), ('ARHGEF9', 60551233, 60706901, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60643245, 60643425), (60705918, 60706901)]), ('ARHGEF9', 60551233, 60706901, '-', [(60551233, 60554475), (60560288, 60560357), (60575871, 60576115), (60586385, 60586517), (60594398, 60594528), (60598686, 60598919), (60615892, 60616072), (60624893, 60625085), (60705918, 60706901)])]"
31,"[('ZC3H12B', 61696284, 62121316, '+', [(61696284, 61696753), (61743326, 61743395), (62058479, 62058604), (62060671, 62060841), (62079205, 62079317), (62101940, 62102704), (62110580, 62110720), (62112438, 62112673), (62113318, 62113425), (62115219, 62121316)]), ('ZC3H12B', 61696284, 62121316, '+', [(61696284, 61696753), (61743326, 61743395), (62058479, 62058608), (62060671, 62060841), (62079205, 62079317), (62101940, 62102704), (62110580, 62110720), (62112438, 62112673), (62113318, 62113425), (62115219, 62121316)]), ('ZC3H12B', 61696284, 62121316, '+', [(61696284, 61696753), (61743326, 61743395), (61995058, 61995126), (62058479, 62058604), (62060671, 62060841), (62079205, 62079317), (62101940, 62102704), (62110580, 62110720), (62112438, 62112673), (62113318, 62113425), (62115219, 62121316)]), ('ZC3H12B', 61742350, 62121316, '+', [(61742350, 61743152), (61743326, 61743395), (61762535, 61762619), (61787125, 61787230), (61995058, 61995126), (62058479, 62058604), (62060671, 62060841), (62079205, 62079317), (62101940, 62102704), (62110580, 62110720), (62112438, 62112673), (62113318, 62113425), (62115219, 62121316)]), ('LAS1L', 62126299, 62148021, '-', [(62126299, 62126619), (62128531, 62128682), (62131357, 62131851), (62136949, 62137097), (62137445, 62137652), (62137953, 62138004), (62138354, 62138440), (62141514, 62141624), (62142466, 62142513), (62142849, 62143134), (62144607, 62144689), (62145772, 62145842), (62146822, 62146948), (62147699, 62148021)]), ('LAS1L', 62126299, 62148021, '-', [(62126299, 62126619), (62128531, 62128679), (62131357, 62131851), (62136949, 62137097), (62137445, 62137652), (62137953, 62138004), (62138354, 62138440), (62141514, 62141624), (62142466, 62142513), (62142849, 62143134), (62144607, 62144689), (62145772, 62145842), (62146822, 62146948), (62147699, 62148021)]), ('LAS1L', 62126299, 62148026, '-', [(62126299, 62126619), (62128531, 62128682), (62131357, 62131851), (62136949, 62137097), (62137445, 62137652), (62138354, 62138440), (62141514, 62141624), (62142466, 62142513), (62142849, 62143134), (62144607, 62144689), (62145772, 62145842), (62146822, 62146948), (62147699, 62148026)])]"
33,"[('OPHN1', 65089841, 65470955, '-', [(65089841, 65090804), (65092055, 65092097), (65096227, 65096278), (65097332, 65097498), (65107484, 65107808), (65116550, 65116698), (65139878, 65140038), (65161853, 65161959), (65163143, 65163202), (65168923, 65169008), (65239728, 65239803), (65240701, 65240764), (65241278, 65241312), (65243887, 65243966), (65248342, 65248434), (65253629, 65253730), (65257178, 65257308), (65259123, 65259228), (65260890, 65261001), (65279553, 65279655), (65315581, 65315653), (65323912, 65323974), (65339657, 65339753), (65417788, 65417995), (65470892, 65470955)]), ('OPHN1', 65090074, 65471471, '-', [(65090074, 65090804), (65092055, 65092097), (65096227, 65096278), (65097332, 65097498), (65107484, 65107808), (65116550, 65116698), (65139878, 65140038), (65161853, 65161959), (65163143, 65163202), (65168923, 65169008), (65239728, 65239803), (65240701, 65240764), (65241278, 65241312), (65243887, 65243966), (65248342, 65248434), (65253629, 65253730), (65257178, 65257308), (65259123, 65259228), (65260890, 65261001), (65279553, 65279655), (65315581, 65315653), (65323912, 65323974), (65339657, 65339753), (65470892, 65471050), (65471193, 65471471)]), ('OPHN1', 65090538, 65471553, '-', [(65090538, 65090804), (65092055, 65092097), (65096227, 65096278), (65097332, 65097498), (65116550, 65116698), (65139878, 65140038), (65161853, 65161959), (65163143, 65163202), (65168923, 65169008), (65239728, 65239803), (65240701, 65240764), (65241278, 65241312), (65243887, 65243966), (65248342, 65248434), (65253629, 65253730), (65257178, 65257308), (65259123, 65259228), (65260890, 65261001), (65279553, 65279655), (65315581, 65315653), (65323912, 65323974), (65339657, 65339753), (65470892, 65471050), (65471193, 65471553)]), ('LOC710880', 65113489, 65115755, '-', [(65113489, 65115755)])]"
34,"[('EDA', 66644366, 66991560, '+', [(66644366, 66645002), (66649209, 66649260), (66991107, 66991560)]), ('EDA', 66644366, 67081815, '+', [(66644366, 66645002), (66991107, 66991213), (67070449, 67070473), (67075097, 67075277), (67076737, 67076772), (67077702, 67077754), (67080649, 67080774), (67081367, 67081815)]), ('EDA', 66644366, 67086788, '+', [(66644366, 66645002), (66991107, 66991213), (67070449, 67070473), (67075097, 67075277), (67076737, 67076772), (67077702, 67077754), (67080658, 67080774), (67082668, 67086788)]), ('EDA', 66644366, 67086788, '+', [(66644366, 66645002), (66991107, 66991213), (67070449, 67070473), (67075097, 67075277), (67076737, 67076772), (67077702, 67077754), (67080658, 67080780), (67082668, 67086788)]), ('EDA', 66644366, 67086788, '+', [(66644366, 66645002), (66991107, 66991213), (67070449, 67070473), (67075097, 67075277), (67076737, 67076772), (67077702, 67077754), (67080649, 67080774), (67082668, 67086788)]), ('EDA', 66644366, 67086788, '+', [(66644366, 66645002), (66991107, 66991213), (67070449, 67070473), (67075097, 67075277), (67076737, 67076772), (67077702, 67077754), (67080649, 67080780), (67082668, 67086788)]), ('AWAT2', 67087807, 67097149, '-', [(67087807, 67088897), (67089040, 67089230), (67089453, 67089653), (67090302, 67090477), (67090711, 67090916), (67091159, 67091230), (67091578, 67091689), (67097026, 67097149)])]"
35,"[('TEX11', 67572135, 67894281, '-', [(67572135, 67572384), (67573025, 67573190), (67592937, 67593058), (67594129, 67594238), (67595474, 67595624), (67617962, 67618035), (67627583, 67627700), (67629465, 67629536), (67631612, 67631699), (67633046, 67633087), (67646587, 67646644), (67647471, 67647557), (67652101, 67652226), (67665979, 67666082), (67686907, 67687045), (67695592, 67695678), (67697789, 67697941), (67729975, 67730054), (67732613, 67732695), (67742285, 67742381), (67745843, 67745898), (67804491, 67804577), (67821154, 67821235), (67833322, 67833442), (67833536, 67833617), (67842814, 67842894), (67855147, 67855232), (67862132, 67862254), (67894197, 67894281)]), ('LOC114674768', 67798876, 67799056, '-', [(67798876, 67799056)])]"
36,"[('NHSL2', 68975088, 69202702, '+', [(68975088, 68975523), (69071529, 69071598), (69199777, 69202702)]), ('LOC114675145', 69030276, 69030379, '-', [(69030276, 69030379)])]"
37,"[('HDAC8', 69403890, 69651410, '-', [(69403890, 69404450), (69424065, 69424171), (69538825, 69538920), (69541372, 69541545), (69565478, 69565587), (69566185, 69566263), (69570421, 69570534), (69646471, 69646613), (69647328, 69647459), (69650358, 69650411), (69650952, 69651410)]), ('HDAC8', 69549904, 69651410, '-', [(69549904, 69551218), (69565478, 69565587), (69566185, 69566263), (69570421, 69570534), (69646471, 69646613), (69647328, 69647459), (69650358, 69650411), (69650952, 69651410)]), ('HDAC8', 69646163, 69651410, '-', [(69646163, 69646379), (69646471, 69646613), (69647328, 69647459), (69650358, 69650411), (69650952, 69651410)]), ('PHKA1', 69657473, 69788033, '-', [(69657473, 69659819), (69661044, 69661245), (69662886, 69662940), (69671368, 69671539), (69680296, 69680335), (69680463, 69680579), (69681732, 69681834), (69683888, 69684018), (69684158, 69684237), (69688287, 69688367), (69690002, 69690159), (69697793, 69697933), (69698279, 69698371), (69699780, 69699957), (69702174, 69702341), (69706070, 69706149), (69714048, 69714193), (69715169, 69715279), (69723538, 69723673), (69729572, 69729651), (69731738, 69731846), (69732630, 69732726), (69735028, 69735151), (69736481, 69736535), (69745220, 69745367), (69746444, 69746543), (69751574, 69751655), (69757730, 69757813), (69769289, 69769458), (69778511, 69778559), (69786062, 69786221), (69787529, 69788033)]), ('PHKA1', 69657497, 69787906, '-', [(69657497, 69659819), (69661044, 69661245), (69662886, 69662940), (69671368, 69671539), (69680463, 69680579), (69681732, 69681834), (69683888, 69684018), (69684158, 69684237), (69688287, 69688367), (69690002, 69690159), (69697793, 69697933), (69698279, 69698371), (69702174, 69702341), (69706070, 69706149), (69714048, 69714193), (69715169, 69715279), (69723538, 69723673), (69729572, 69729651), (69731738, 69731846), (69732630, 69732726), (69735028, 69735151), (69736481, 69736535), (69745220, 69745367), (69746444, 69746543), (69751574, 69751655), (69757730, 69757813), (69769289, 69769458), (69778511, 69778559), (69786062, 69786221), (69787529, 69787906)]), ('PHKA1', 69657498, 69787955, '-', [(69657498, 69659819), (69661044, 69661245), (69662886, 69662940), (69671368, 69671539), (69680296, 69680335), (69680463, 69680579), (69681732, 69681834), (69683888, 69684018), (69684158, 69684237), (69688287, 69688367), (69690002, 69690159), (69697793, 69697933), (69698279, 69698371), (69702174, 69702341), (69706070, 69706149), (69714048, 69714193), (69715169, 69715279), (69723538, 69723673), (69729572, 69729651), (69731738, 69731846), (69732630, 69732726), (69735028, 69735151), (69736481, 69736535), (69745220, 69745367), (69746444, 69746543), (69751574, 69751655), (69757730, 69757813), (69769289, 69769458), (69778511, 69778559), (69786062, 69786221), (69787529, 69787955)]), ('PHKA1', 69659365, 69787758, '-', [(69659365, 69659819), (69661044, 69661245), (69662886, 69662940), (69671368, 69671539), (69680463, 69680579), (69681732, 69681834), (69683888, 69684018), (69684158, 69684237), (69688287, 69688367), (69690002, 69690159), (69697793, 69697933), (69698279, 69698371), (69699780, 69699957), (69702174, 69702341), (69706070, 69706149), (69714048, 69714193), (69715169, 69715279), (69723538, 69723673), (69729572, 69729651), (69731738, 69731846), (69732630, 69732726), (69735028, 69735151), (69736481, 69736535), (69745220, 69745367), (69746444, 69746543), (69751574, 69751655), (69757730, 69757813), (69769289, 69769458), (69778511, 69778559), (69786062, 69786221), (69787529, 69787758)])]"
38,"[('LOC106995245', 70937329, 70966901, '-', [(70937329, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70956642, 70956732), (70958146, 70966901)]), ('LOC106995245', 70937329, 70966901, '-', [(70937329, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70958146, 70966901)]), ('LOC106995245', 70937329, 70966901, '-', [(70937329, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70956642, 70956732), (70958236, 70966901)]), ('LOC106995245', 70937329, 70966901, '-', [(70937329, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70958236, 70966901)]), ('LOC106995245', 70937329, 70966901, '-', [(70937329, 70937701), (70938747, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70958236, 70966901)]), ('LOC106995245', 70937329, 70966901, '-', [(70937329, 70938889), (70942933, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70958236, 70966901)]), ('LOC106995245', 70937329, 70966901, '-', [(70937329, 70944770), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70958236, 70966901)]), ('LOC106995245', 70937329, 70969775, '-', [(70937329, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70958146, 70958176), (70967585, 70969775)]), ('LOC106995245', 70937329, 70969776, '-', [(70937329, 70944826), (70945922, 70946086), (70947457, 70947625), (70947900, 70948108), (70950084, 70950221), (70954282, 70954346), (70956642, 70956732), (70958146, 70958176), (70967585, 70969776)]), ('LOC706801', 70992058, 70992629, '+', [(70992058, 70992211), (70992494, 70992629)])]"
39,"[('LOC114675117', 71214688, 71216093, '-', [(71214688, 71215143), (71215257, 71216093)]), ('LOC702417', 71222687, 71225089, '+', [(71222687, 71225089)]), ('LOC707429', 71274972, 71276363, '+', [(71274972, 71275513), (71275515, 71276363)]), ('MIR421', 71307790, 71307869, '-', [(71307790, 71307869)]), ('MIR374B', 71307955, 71308027, '-', [(71307955, 71308027)]), ('LOC106995248', 71348642, 71382717, '-', [(71348642, 71349673), (71357192, 71357288), (71363396, 71363465), (71369419, 71369520), (71369953, 71370108), (71370722, 71370869), (71382461, 71382717)]), ('LOC106995248', 71348642, 71383597, '-', [(71348642, 71349673), (71357192, 71357288), (71363396, 71363465), (71369419, 71369520), (71369953, 71370108), (71370722, 71370869), (71382723, 71383597)]), ('LOC106995248', 71348642, 71383861, '-', [(71348642, 71349673), (71357192, 71357288), (71363396, 71363465), (71369419, 71369520), (71369953, 71370108), (71370722, 71370869), (71383644, 71383861)]), ('MIR545', 71376428, 71376534, '-', [(71376428, 71376534)]), ('MIR374A', 71376612, 71376684, '-', [(71376612, 71376684)])]"
40,[]
